n_config,n_voisin,liaisons
4,9,"[(0, 4), (0, 5), (1, 4), (1, 5), (2, 5), (3, 5)]"
4,10,"[(0, 4), (0, 5), (1, 4), (2, 4), (3, 4)]"
2,10,"[(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4), (2, 5)]"
8,10,"[(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (2, 4)]"
4,10,"[(0, 3), (0, 5), (1, 3), (1, 4), (1, 5), (2, 5)]"
8,11,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
8,10,"[(0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (3, 5)]"
4,10,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
4,10,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
8,12,"[(0, 4), (0, 5), (1, 3), (1, 4), (2, 4)]"
8,11,"[(0, 4), (0, 5), (1, 3), (1, 4), (2, 4)]"
8,11,"[(0, 3), (0, 4), (1, 3), (2, 3), (4, 5)]"
4,12,"[(0, 3), (0, 4), (1, 3), (2, 3), (4, 5)]"
4,10,"[(0, 4), (1, 3), (1, 4), (1, 5), (2, 4)]"
4,12,"[(0, 4), (1, 3), (1, 4), (2, 4), (2, 5)]"
8,11,"[(0, 5), (1, 4), (1, 5), (2, 3), (3, 5)]"
8,12,"[(0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
8,11,"[(0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
8,11,"[(0, 4), (1, 3), (1, 4), (2, 4), (3, 5)]"
4,10,"[(0, 4), (1, 4), (1, 5), (2, 3), (3, 4)]"
8,10,"[(0, 3), (1, 3), (1, 4), (2, 3), (4, 5)]"
8,11,"[(0, 4), (1, 5), (2, 4), (2, 5), (3, 4)]"
2,14,"[(0, 2), (0, 3), (1, 3), (1, 5), (2, 4)]"
8,13,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 5)]"
4,12,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 5)]"
4,12,"[(0, 2), (0, 3), (1, 3), (1, 5), (2, 4)]"
8,12,"[(0, 2), (0, 3), (1, 3), (1, 5), (4, 5)]"
8,13,"[(0, 2), (0, 4), (1, 4), (1, 5), (3, 5)]"
8,11,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 5)]"
8,12,"[(0, 2), (0, 4), (1, 4), (1, 5), (2, 3)]"
8,11,"[(0, 2), (1, 4), (1, 5), (2, 3), (3, 5)]"
8,12,"[(0, 3), (0, 4), (1, 2), (1, 5), (2, 4)]"
4,12,"[(0, 2), (0, 3), (1, 3), (2, 5), (4, 5)]"
8,11,"[(0, 5), (1, 3), (1, 4), (2, 4), (3, 5)]"
4,10,"[(0, 2), (0, 5), (1, 2), (1, 3), (3, 4)]"
