n_config,n_voisin,liaisons
12,13,"[(0, 1), (0, 3), (0, 4), (0, 6), (1, 2), (1, 4), (1, 6), (2, 4), (3, 4), (3, 5), (4, 5)]"
6,14,"[(0, 1), (1, 2), (1, 4), (1, 5), (2, 3), (2, 5), (3, 5), (4, 5), (4, 6), (5, 6)]"
12,14,"[(0, 2), (0, 4), (0, 5), (1, 2), (2, 3), (2, 5), (3, 5), (4, 5), (4, 6), (5, 6)]"
12,13,"[(0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (2, 3), (2, 5), (3, 5), (4, 5), (4, 6), (5, 6)]"
1,12,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (2, 4), (2, 5), (3, 4), (3, 6), (4, 5), (4, 6), (5, 6)]"
12,14,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (2, 4), (2, 6), (3, 4), (3, 5), (4, 5)]"
12,14,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (2, 4), (2, 5), (3, 4), (3, 6), (4, 6)]"
6,15,"[(0, 1), (0, 2), (0, 4), (0, 6), (2, 3), (2, 4), (2, 6), (3, 4), (4, 5)]"
12,14,"[(0, 1), (0, 6), (1, 2), (1, 4), (1, 6), (2, 3), (2, 4), (2, 6), (3, 4), (4, 5)]"
12,15,"[(0, 1), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (2, 5), (3, 4)]"
12,15,"[(0, 1), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (2, 4), (3, 5)]"
12,15,"[(0, 1), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (3, 4), (4, 5)]"
12,15,"[(0, 1), (0, 4), (0, 6), (1, 2), (1, 4), (1, 6), (2, 4), (3, 5), (4, 5)]"
12,15,"[(0, 2), (0, 4), (0, 6), (1, 5), (2, 3), (2, 4), (2, 6), (3, 4), (4, 5)]"
12,15,"[(0, 1), (0, 3), (0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (3, 5), (4, 6)]"
12,15,"[(0, 1), (0, 4), (0, 6), (1, 2), (1, 4), (1, 6), (2, 4), (3, 6), (4, 5)]"
12,15,"[(0, 1), (0, 2), (1, 2), (1, 3), (1, 5), (3, 4), (3, 5), (4, 5), (5, 6)]"
12,15,"[(0, 1), (0, 2), (0, 5), (1, 4), (2, 3), (2, 5), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 2), (0, 4), (1, 5), (2, 3), (2, 4), (3, 4), (4, 6)]"
12,16,"[(0, 2), (1, 2), (1, 3), (1, 5), (3, 4), (3, 5), (4, 5), (5, 6)]"
12,16,"[(0, 2), (0, 3), (0, 5), (1, 3), (3, 4), (3, 5), (4, 5), (5, 6)]"
6,16,"[(0, 1), (0, 2), (0, 4), (2, 3), (2, 4), (3, 4), (3, 6), (4, 5)]"
12,16,"[(0, 1), (0, 2), (0, 4), (2, 3), (2, 4), (3, 4), (3, 5), (4, 6)]"
12,16,"[(0, 1), (0, 2), (0, 4), (2, 3), (2, 4), (3, 4), (4, 5), (5, 6)]"
12,15,"[(0, 1), (0, 2), (0, 5), (2, 3), (2, 5), (3, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 3), (0, 5), (2, 6), (3, 4), (3, 5), (4, 5), (5, 6)]"
12,16,"[(0, 1), (0, 4), (1, 2), (1, 5), (2, 3), (2, 5), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4), (4, 6)]"
12,16,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4), (4, 6)]"
6,16,"[(0, 1), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4), (3, 5), (4, 6)]"
12,16,"[(0, 1), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4), (4, 5), (5, 6)]"
12,16,"[(0, 1), (1, 2), (1, 5), (2, 3), (2, 5), (3, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (1, 3), (1, 5), (2, 6), (3, 4), (3, 5), (4, 5), (5, 6)]"
6,16,"[(0, 2), (0, 4), (1, 2), (1, 6), (2, 3), (2, 4), (3, 4), (4, 5)]"
12,16,"[(0, 2), (0, 4), (1, 2), (1, 5), (2, 3), (2, 4), (3, 4), (4, 6)]"
12,15,"[(0, 1), (0, 4), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 5), (5, 6)]"
6,16,"[(0, 2), (0, 4), (1, 6), (2, 3), (2, 4), (3, 4), (4, 5), (5, 6)]"
12,16,"[(0, 1), (0, 3), (1, 2), (1, 3), (2, 3), (3, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 4), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,16,"[(0, 1), (0, 4), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,15,"[(0, 1), (0, 4), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 6)]"
6,16,"[(0, 2), (0, 5), (1, 6), (2, 3), (2, 5), (3, 5), (4, 6), (5, 6)]"
6,13,"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 6), (2, 4), (2, 6), (3, 4), (3, 5), (4, 5)]"
12,14,"[(0, 1), (0, 2), (0, 3), (0, 6), (1, 3), (1, 6), (2, 3), (2, 4), (3, 4), (4, 5)]"
12,14,"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 5), (2, 4), (2, 6), (3, 4), (3, 5), (4, 5)]"
12,14,"[(0, 1), (0, 2), (0, 3), (0, 4), (1, 3), (1, 5), (2, 4), (3, 4), (3, 6), (4, 6)]"
12,15,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 6), (2, 4), (3, 4), (3, 5), (4, 5)]"
12,15,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 5), (2, 4), (3, 4), (3, 6), (4, 6)]"
12,15,"[(0, 2), (0, 3), (0, 5), (1, 2), (1, 4), (2, 5), (3, 5), (3, 6), (5, 6)]"
12,14,"[(0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (2, 3), (3, 5), (4, 5), (4, 6), (5, 6)]"
6,15,"[(0, 2), (0, 3), (0, 4), (1, 2), (2, 4), (3, 4), (3, 5), (4, 5), (5, 6)]"
12,15,"[(0, 3), (0, 4), (0, 5), (1, 3), (2, 6), (3, 5), (4, 5), (4, 6), (5, 6)]"
12,15,"[(0, 2), (0, 3), (0, 5), (1, 2), (1, 4), (2, 5), (3, 5), (3, 6), (5, 6)]"
12,15,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 5), (2, 4), (3, 4), (3, 6), (4, 6)]"
12,15,"[(0, 2), (0, 3), (0, 5), (1, 2), (1, 4), (2, 5), (3, 5), (3, 6), (5, 6)]"
6,15,"[(0, 3), (0, 4), (0, 5), (1, 3), (2, 6), (3, 5), (4, 5), (4, 6), (5, 6)]"
3,14,"[(0, 2), (0, 3), (0, 6), (1, 4), (1, 5), (2, 3), (2, 6), (3, 4), (3, 5), (4, 5)]"
12,15,"[(0, 2), (0, 3), (0, 6), (1, 4), (2, 3), (2, 6), (3, 4), (3, 5), (4, 5)]"
12,15,"[(0, 1), (0, 2), (0, 6), (1, 2), (1, 6), (2, 3), (2, 4), (3, 4), (3, 5)]"
12,15,"[(0, 6), (1, 2), (1, 3), (1, 6), (2, 3), (2, 6), (3, 4), (3, 5), (4, 5)]"
6,15,"[(0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (3, 4), (4, 5), (4, 6), (5, 6)]"
12,15,"[(0, 1), (0, 2), (0, 4), (1, 3), (2, 4), (4, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (2, 3), (3, 5), (3, 6), (5, 6)]"
12,16,"[(0, 2), (1, 2), (1, 3), (1, 4), (3, 4), (4, 5), (4, 6), (5, 6)]"
12,16,"[(0, 2), (0, 3), (0, 4), (1, 3), (3, 4), (4, 5), (4, 6), (5, 6)]"
6,16,"[(0, 1), (0, 3), (0, 4), (2, 3), (3, 4), (4, 5), (4, 6), (5, 6)]"
12,16,"[(0, 2), (0, 3), (0, 4), (1, 5), (3, 4), (4, 5), (4, 6), (5, 6)]"
6,16,"[(0, 1), (0, 2), (0, 3), (2, 3), (3, 4), (3, 5), (4, 5), (4, 6)]"
12,16,"[(0, 1), (0, 2), (0, 3), (2, 3), (3, 4), (3, 5), (4, 5), (5, 6)]"
6,15,"[(0, 1), (0, 2), (0, 4), (2, 4), (3, 6), (4, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 4), (4, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (3, 6), (5, 6)]"
12,16,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (3, 6), (5, 6)]"
6,16,"[(0, 1), (1, 3), (1, 4), (2, 3), (3, 4), (4, 5), (4, 6), (5, 6)]"
6,16,"[(0, 1), (1, 3), (1, 4), (2, 5), (3, 4), (4, 5), (4, 6), (5, 6)]"
6,16,"[(0, 1), (1, 2), (1, 3), (2, 3), (3, 4), (3, 5), (4, 5), (5, 6)]"
12,15,"[(0, 1), (0, 3), (0, 6), (1, 3), (1, 6), (2, 4), (2, 5), (3, 4), (4, 5)]"
12,15,"[(0, 2), (0, 3), (0, 6), (1, 4), (1, 5), (2, 3), (2, 6), (3, 4), (4, 5)]"
12,16,"[(0, 2), (0, 3), (0, 6), (1, 5), (2, 3), (2, 6), (3, 4), (4, 5)]"
12,16,"[(0, 1), (0, 2), (0, 6), (1, 2), (1, 6), (2, 4), (3, 5), (4, 5)]"
12,16,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 5), (2, 3), (3, 4), (4, 6)]"
12,16,"[(0, 1), (0, 2), (0, 6), (1, 2), (1, 6), (2, 4), (3, 6), (4, 5)]"
12,16,"[(0, 1), (0, 3), (0, 6), (1, 3), (1, 6), (2, 6), (3, 4), (4, 5)]"
12,16,"[(0, 1), (0, 3), (0, 6), (1, 3), (1, 6), (2, 4), (2, 5), (3, 5)]"
12,16,"[(0, 1), (0, 4), (0, 6), (1, 4), (1, 6), (2, 3), (2, 5), (4, 5)]"
12,15,"[(0, 1), (0, 4), (0, 6), (1, 4), (1, 6), (2, 3), (2, 5), (4, 5)]"
12,16,"[(0, 2), (0, 4), (0, 6), (1, 5), (2, 4), (2, 6), (3, 5), (4, 5)]"
12,16,"[(0, 1), (0, 3), (0, 6), (1, 3), (1, 6), (2, 5), (3, 5), (4, 6)]"
12,16,"[(0, 1), (0, 4), (0, 6), (1, 4), (1, 6), (2, 5), (3, 6), (4, 5)]"
12,16,"[(0, 2), (0, 3), (0, 5), (1, 4), (1, 6), (2, 3), (2, 5), (3, 4)]"
12,16,"[(0, 3), (0, 4), (0, 6), (1, 2), (2, 5), (3, 4), (3, 6), (4, 5)]"
12,16,"[(0, 3), (0, 4), (0, 6), (1, 2), (2, 5), (3, 4), (3, 6), (4, 5)]"
12,16,"[(0, 2), (0, 3), (0, 6), (1, 5), (2, 3), (2, 6), (3, 5), (4, 6)]"
12,16,"[(0, 2), (0, 4), (0, 6), (1, 5), (2, 4), (2, 6), (3, 6), (4, 5)]"
12,16,"[(0, 1), (0, 2), (0, 4), (1, 3), (1, 5), (2, 4), (4, 6)]"
12,15,"[(0, 2), (0, 4), (1, 2), (1, 3), (1, 5), (2, 4), (3, 5), (5, 6)]"
12,16,"[(0, 2), (0, 3), (0, 5), (1, 3), (2, 4), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 3), (0, 5), (1, 4), (2, 3), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 2), (0, 5), (1, 4), (2, 5), (3, 4), (5, 6)]"
12,16,"[(0, 2), (0, 3), (0, 5), (1, 4), (2, 4), (3, 5), (5, 6)]"
6,14,"[(0, 1), (0, 2), (0, 5), (1, 4), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 1), (0, 2), (0, 4), (1, 3), (2, 4), (4, 5), (5, 6)]"
12,16,"[(0, 1), (0, 3), (0, 5), (1, 4), (2, 6), (3, 5), (5, 6)]"
12,16,"[(0, 2), (0, 5), (1, 2), (1, 3), (1, 4), (2, 5), (3, 4), (4, 6)]"
12,17,"[(0, 2), (0, 3), (0, 4), (1, 3), (2, 5), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 3), (0, 4), (1, 5), (2, 3), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 2), (0, 3), (1, 5), (2, 3), (3, 6), (4, 5)]"
12,17,"[(0, 1), (0, 2), (0, 3), (1, 4), (2, 3), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 2), (0, 3), (1, 4), (2, 3), (3, 6), (4, 5)]"
12,17,"[(0, 1), (0, 2), (0, 3), (1, 4), (2, 3), (3, 5), (5, 6)]"
6,17,"[(0, 1), (0, 3), (0, 4), (1, 5), (2, 6), (3, 4), (4, 6)]"
12,17,"[(0, 2), (0, 3), (1, 3), (1, 4), (1, 5), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 5), (1, 2), (1, 3), (1, 4), (3, 4), (4, 6)]"
12,17,"[(0, 2), (0, 6), (1, 2), (1, 3), (1, 4), (3, 4), (4, 5)]"
12,17,"[(0, 3), (1, 3), (1, 4), (1, 5), (2, 4), (4, 5), (5, 6)]"
12,17,"[(0, 2), (1, 2), (1, 4), (1, 5), (3, 4), (4, 5), (5, 6)]"
6,17,"[(0, 2), (1, 2), (1, 3), (1, 4), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 6), (3, 4), (4, 5)]"
12,17,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 5), (3, 4), (4, 6)]"
12,17,"[(0, 2), (0, 3), (0, 5), (1, 3), (1, 4), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 3), (0, 5), (1, 2), (1, 4), (2, 4), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 3), (0, 5), (1, 2), (1, 4), (2, 4), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 3), (1, 5), (2, 3), (3, 5), (5, 6)]"
12,17,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 4), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 5), (2, 5), (3, 4), (5, 6)]"
12,16,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 4), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 3), (1, 2), (1, 4), (2, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 5), (2, 5), (3, 6), (5, 6)]"
12,17,"[(0, 1), (0, 4), (1, 3), (1, 5), (2, 6), (3, 5), (5, 6)]"
12,16,"[(0, 1), (0, 4), (0, 5), (1, 2), (1, 3), (2, 3), (3, 6), (4, 5)]"
12,17,"[(0, 1), (0, 5), (1, 3), (1, 4), (2, 3), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 4), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 6), (4, 5)]"
12,17,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 4), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (5, 6)]"
12,17,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 4), (3, 6), (4, 6)]"
12,17,"[(0, 1), (0, 5), (1, 3), (1, 4), (2, 6), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 5), (1, 3), (1, 4), (2, 3), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 5), (1, 3), (1, 4), (2, 5), (3, 4), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (4, 6)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 6), (4, 5)]"
12,17,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (5, 6)]"
12,17,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 4), (3, 6), (4, 6)]"
12,17,"[(0, 1), (0, 5), (1, 3), (1, 4), (2, 6), (3, 4), (4, 6)]"
12,16,"[(0, 1), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 5), (5, 6)]"
12,16,"[(0, 1), (1, 3), (1, 4), (2, 5), (2, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (1, 3), (1, 4), (2, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (1, 2), (1, 3), (2, 3), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 1), (1, 2), (1, 3), (2, 3), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,17,"[(0, 1), (1, 2), (1, 5), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 1), (1, 2), (1, 5), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,17,"[(0, 1), (1, 3), (1, 5), (2, 6), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 1), (1, 3), (1, 4), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 1), (1, 4), (1, 5), (2, 3), (3, 6), (4, 5), (5, 6)]"
12,17,"[(0, 1), (1, 4), (1, 5), (2, 3), (3, 6), (4, 5), (5, 6)]"
6,17,"[(0, 2), (0, 3), (1, 2), (1, 6), (2, 3), (3, 4), (4, 5)]"
12,17,"[(0, 2), (0, 3), (1, 2), (1, 4), (2, 3), (3, 5), (5, 6)]"
12,17,"[(0, 2), (0, 4), (1, 2), (1, 3), (2, 4), (4, 5), (5, 6)]"
12,16,"[(0, 2), (0, 4), (1, 2), (2, 4), (3, 5), (3, 6), (4, 5), (5, 6)]"
12,16,"[(0, 3), (0, 4), (1, 3), (2, 5), (2, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 3), (0, 4), (1, 3), (2, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 3), (1, 2), (2, 3), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 2), (0, 3), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 6), (3, 4), (4, 5), (5, 6)]"
6,16,"[(0, 2), (0, 3), (1, 4), (1, 6), (2, 3), (3, 5), (4, 6), (5, 6)]"
6,16,"[(0, 2), (0, 3), (1, 5), (1, 6), (2, 3), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 4), (1, 3), (1, 6), (2, 4), (4, 5), (5, 6)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (0, 3), (1, 3), (2, 4), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 4), (1, 2), (1, 3), (2, 3), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 1), (0, 3), (1, 3), (2, 4), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 1), (0, 2), (1, 2), (2, 4), (3, 5), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 3), (1, 6), (2, 3), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 1), (0, 3), (1, 3), (2, 6), (3, 4), (4, 5), (5, 6)]"
12,17,"[(0, 2), (0, 3), (1, 6), (2, 3), (3, 4), (4, 5), (5, 6)]"
6,17,"[(0, 2), (0, 4), (1, 2), (1, 5), (2, 4), (3, 6), (4, 6)]"
12,17,"[(0, 2), (0, 5), (1, 2), (1, 4), (2, 5), (3, 6), (5, 6)]"
12,17,"[(0, 2), (0, 4), (1, 2), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,17,"[(0, 2), (0, 5), (1, 2), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 2), (0, 5), (1, 2), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,17,"[(0, 3), (0, 5), (1, 3), (2, 6), (3, 5), (4, 6), (5, 6)]"
12,16,"[(0, 1), (0, 4), (1, 4), (2, 3), (2, 5), (2, 6), (3, 5), (4, 6)]"
12,16,"[(0, 1), (0, 4), (1, 4), (2, 3), (2, 5), (2, 6), (4, 6)]"
12,17,"[(0, 1), (0, 3), (1, 3), (2, 4), (2, 5), (3, 5), (4, 6)]"
12,17,"[(0, 5), (1, 2), (1, 4), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,17,"[(0, 2), (0, 4), (1, 5), (2, 4), (3, 5), (3, 6), (4, 6)]"
12,17,"[(0, 2), (0, 4), (1, 6), (2, 4), (3, 5), (3, 6), (4, 6)]"
6,15,"[(0, 1), (0, 4), (1, 4), (2, 3), (2, 5), (2, 6), (3, 5), (4, 6)]"
12,17,"[(0, 4), (1, 2), (1, 5), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,17,"[(0, 2), (0, 5), (1, 4), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,17,"[(0, 1), (0, 4), (1, 4), (2, 3), (2, 6), (3, 5), (4, 6)]"
12,17,"[(0, 2), (0, 5), (1, 6), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 4), (1, 2), (1, 5), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 2), (0, 5), (1, 4), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,16,"[(0, 2), (0, 5), (1, 6), (2, 5), (3, 4), (3, 6), (5, 6)]"
12,17,"[(0, 2), (0, 4), (1, 5), (1, 6), (2, 4), (3, 5), (4, 5)]"
12,17,"[(0, 3), (0, 5), (1, 2), (2, 6), (3, 5), (4, 6), (5, 6)]"
12,17,"[(0, 3), (0, 5), (1, 2), (2, 6), (3, 5), (4, 6), (5, 6)]"
6,16,"[(0, 3), (0, 4), (1, 2), (1, 6), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 2), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 3), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 6), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 6), (2, 5), (2, 6), (3, 4), (4, 5)]"
12,17,"[(0, 2), (0, 4), (1, 5), (1, 6), (2, 4), (3, 6), (4, 5)]"
12,17,"[(0, 3), (0, 5), (1, 2), (1, 4), (2, 6), (3, 5), (5, 6)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 5), (2, 6), (3, 4), (4, 6)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 6), (2, 5), (3, 4), (4, 5)]"
12,17,"[(0, 4), (0, 5), (1, 3), (2, 4), (3, 6), (4, 5), (5, 6)]"
12,16,"[(0, 3), (0, 4), (1, 2), (1, 6), (2, 5), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 6), (2, 5), (3, 4), (4, 5)]"
12,17,"[(0, 3), (0, 4), (1, 2), (1, 5), (2, 6), (3, 4), (4, 6)]"
12,17,"[(0, 4), (0, 5), (1, 3), (2, 4), (3, 6), (4, 5), (5, 6)]"
6,17,"[(0, 3), (0, 5), (1, 3), (1, 4), (2, 6), (3, 5), (5, 6)]"
3,18,"[(0, 1), (0, 6), (1, 3), (2, 4), (4, 5), (5, 6)]"
12,18,"[(0, 2), (1, 2), (1, 6), (3, 4), (4, 5), (5, 6)]"
6,18,"[(0, 1), (0, 3), (0, 6), (2, 4), (4, 5), (5, 6)]"
6,18,"[(0, 2), (0, 5), (1, 3), (1, 6), (3, 4), (4, 5)]"
